surface,winner,winner_hand,winner_age,loser_hand,loser_age,w_ace,w_SvGms,l_ace,l_SvGms,winner_rank,loser_rank
Hard,Player1,R,39.8384668036,R,18.3956194387,13,11,7,11,100,108
Hard,Player1,R,30.3353867214,R,30.5954825462,14,15,1,15,95,104
Hard,Player1,R,27.4633812457,L,23.3757700205,7,9,7,9,63,93
Hard,Player1,L,23.3757700205,R,28.7036276523,17,16,10,15,93,58
Hard,Player1,R,27.4633812457,R,35.227926078,9,9,0,9,63,34
Hard,Player1,L,23.3757700205,R,21.1937029432,11,11,6,10,93,50
Hard,Player1,R,28.7036276523,R,27.4907597536,22,18,6,18,58,24
Hard,Player1,R,27.4633812457,R,31.6495550992,11,11,3,10,63,54
Hard,Player1,R,35.227926078,R,31.6249144422,5,8,0,8,34,13
Hard,Player1,R,21.1937029432,R,33.7002053388,12,12,26,12,50,10
Hard,Player1,L,23.3757700205,R,29.7741273101,6,11,9,11,93,44
Hard,Player1,R,27.4907597536,R,36.7665982204,0,1,0,1,24,124
Hard,Player1,R,28.7036276523,R,31.704312115,12,8,4,7,58,360
Hard,Player1,R,31.6495550992,R,22.7378507871,7,17,6,16,54,52
Hard,Player1,R,27.4633812457,R,26.2696783025,13,9,4,9,63,18
Hard,Player1,R,35.227926078,L,20.5338809035,3,10,4,10,34,98
Hard,Player1,R,31.6249144422,R,29.4811772758,5,14,10,15,13,60
Hard,Player1,R,21.1937029432,R,28.2245037645,12,15,10,14,50,61
Hard,Player1,L,23.3757700205,R,29.6673511294,2,9,9,8,93,55
Hard,Player1,R,29.7741273101,L,19.7316906229,3,15,11,15,44,27
Hard,Player1,R,36.7665982204,R,31.7563312799,3,7,1,8,124,49
Hard,Player1,R,28.7036276523,R,23.6002737851,0,7,3,7,58,91
Hard,Player1,R,31.704312115,R,22.636550308,2,11,2,10,360,25
Hard,Player1,R,31.6495550992,R,29.0376454483,2,10,4,11,54,33
Hard,Player1,R,22.7378507871,R,23.7289527721,14,10,2,9,52,79
Hard,Player1,R,27.4633812457,L,23.5646817248,6,10,2,9,63,70
Hard,Player1,L,20.5338809035,R,33.015742642,6,10,1,9,98,90
Hard,Player1,R,35.227926078,L,28.3832991102,0,11,2,11,34,76
Hard,Player1,R,29.4811772758,L,28.643394935,6,12,8,12,60,66
Hard,Player1,R,19.8877481177,R,34.8774811773,4,12,5,12,29,37
Hard,Player1,R,34.8774811773,R,26.392881588,3,11,5,11,37,19
Hard,Player1,R,19.8877481177,R,34.0287474333,1,9,0,8,29,31
Hard,Player1,R,34.8774811773,R,20.4052019165,2,15,15,15,37,15
Hard,Player1,R,26.392881588,L,23.279945243,7,14,5,14,19,75
Hard,Player1,R,34.0287474333,R,29.5660506502,2,16,5,17,31,38
Hard,Player1,R,19.8877481177,R,24.7173169062,2,11,2,10,29,72
Hard,Player1,R,20.4052019165,R,27.4250513347,8,10,4,9,15,80
Hard,Player1,R,34.8774811773,L,29.492128679,11,10,1,10,37,40
Hard,Player1,R,26.392881588,R,35.5947980835,1,8,2,9,19,101
Hard,Player1,L,23.279945243,R,21.2156057495,1,8,3,8,75,84
Hard,Player1,R,29.5660506502,R,26.9130732375,0,10,3,9,38,35
Hard,Player1,R,34.0287474333,R,31.2525667351,5,17,22,17,31,48
Hard,Player1,R,19.8877481177,R,21.3607118412,3,11,17,11,29,102
Hard,Player1,R,24.7173169062,R,25.9438740589,9,14,5,13,72,78
Hard,Player1,R,27.4250513347,R,31.1156741958,7,14,11,14,80,47
Hard,Player1,L,29.492128679,R,19.4250513347,3,17,5,17,40,149
Hard,Player1,R,34.8774811773,R,31.9014373717,9,15,12,15,37,36
Hard,Player1,R,35.5947980835,R,26.3901437372,3,11,6,11,101,62
Hard,Player1,L,23.279945243,R,26.6694045175,2,9,6,9,75,81
Hard,Player1,R,21.2156057495,R,24.8706365503,4,8,6,9,84,30
Hard,Player1,R,26.9130732375,R,26.9623545517,2,14,6,14,35,238
Hard,Player1,R,29.5660506502,R,20.9637234771,12,17,15,17,38,39
Hard,Player1,R,31.2525667351,R,34.9650924025,8,6,0,6,48,42
Hard,Player1,R,19.8877481177,R,28.5229295003,2,10,4,9,29,45
Hard,Player1,R,21.3607118412,L,30.9733059548,16,10,3,9,102,65
Hard,Player1,R,24.7173169062,L,30.5242984257,6,9,1,9,72,41
Hard,Player1,R,31.6495550992,L,32.6160164271,8,13,3,13,1,2
Hard,Player1,R,20.424366872,R,37.4346338125,20,24,12,24,15,3
Hard,Player1,R,28.0492813142,R,21.735797399,15,13,6,13,17,4
Hard,Player1,R,20.9828884326,R,32.6598220397,10,21,13,21,39,6
Hard,Player1,R,30.7515400411,R,30.2943189596,10,25,17,24,24,7
Hard,Player1,R,19.4442162902,R,25.363449692,13,12,1,12,149,8
Hard,Player1,R,31.6495550992,R,29.0431211499,2,6,0,6,1,9
Hard,Player1,R,21.3798767967,R,33.7193702943,40,24,47,24,97,10
Hard,Player1,R,30.7515400411,R,22.6502395619,5,16,8,16,24,11
Hard,Player1,R,24.8898015058,R,22.1656399726,19,23,24,23,31,12
Hard,Player1,R,27.5099247091,R,31.6440793977,10,18,8,18,23,13
Hard,Player1,R,33.325119781,R,24.0164271047,12,14,4,13,57,14
Hard,Player1,L,32.6160164271,R,20.424366872,5,12,5,12,2,15
Hard,Player1,R,31.6495550992,R,22.9240246407,6,20,18,19,1,19
Hard,Player1,R,24.8898015058,R,28.0492813142,14,22,25,21,31,17
Hard,Player1,R,26.8802190281,R,26.288843258,20,23,10,22,93,18
Hard,Player1,R,33.325119781,R,26.4120465435,19,22,8,21,57,16
Hard,Player1,R,20.424366872,R,26.8911704312,18,20,14,20,15,20
Hard,Player1,R,20.9828884326,R,27.665982204,10,24,21,24,39,21
Hard,Player1,R,22.9240246407,R,28.1040383299,7,15,4,14,19,22
Hard,Player1,R,20.424366872,R,30.7515400411,22,22,6,22,15,24
Hard,Player1,R,29.0431211499,R,27.5099247091,15,28,5,28,9,23
Hard,Player1,R,27.8275154004,R,22.6557152635,13,17,2,16,55,25
Hard,Player1,R,31.6495550992,L,19.7508555784,5,18,6,17,1,27
Hard,Player1,R,30.2943189596,L,35.1649555099,8,24,27,23,7,28
Hard,Player1,L,32.6160164271,R,19.9069130732,6,13,3,12,2,29
Hard,Player1,R,31.6495550992,R,24.8898015058,6,11,4,11,1,31
Hard,Player1,L,26.0232717317,R,34.0479123888,11,25,14,25,155,30
Hard,Player1,R,21.2128678987,R,32.3696098563,15,23,22,22,50,33
